id,settore,fornitore,codice,descrizione,collocazione,cespite,quantita,in_uso,unita,prezzo,note
38088,Elettrico,,,"SEGNAFILI LETTERE U",,,4,0,"pacco ",3.46000,
38087,Elettrico,,,"SEGNAFILI LETTERE T",,,2,0,"pacco ",25.64000,
38086,Elettrico,,,"SEGNAFILI LETTERE S",,,2,0,"pacco ",23.09000,
38085,Elettrico,,,"SEGNAFILI LETTERE R",,,1,0,"pacco ",25.64000,
38532,Cancelleria,VISOCOM,0,"Toner TK Kyocera Mita TK 110 - fax",,,1,0,,20.00000,
37843,Cancelleria,ERREBIAN,5369,"DIVISORI COLORATI 12 CARD - RUBRICHE ESSELTE ",B1,,1,0,,4.32000,
38024,Elettrico,,,"ADATTATORE SPINA 10A SCHUKO",,,1,0,Pz.,1.32000,
38025,Elettrico,,,"BIPRESA VOLANTE 2p.+T 10/16A",,,2,0,Pz.,1.89000,
38026,Elettrico,,,"PORTAPIEDINI NEON",,,60,0,Pz.,1.20000,
38023,Elettrico,,,"ADATTATORE MULTIPLE 16A",,,0,0,Pz.,1.90800,
38021,Elettrico,,,"PORTAFUSIBILE SEZIONABILE TRIPOLARE 10,3x38",,,8,0,Pz.,13.22400,
38022,Elettrico,,,"TRASFORMATORE MONOFASE 220-380v/12-0-12v 150va",,,0,0,Pz.,26.62000,
38008,Elettrico,,,"FUSIBILE 10x38 2A",,,50,0,Pz.,0.72000,
38009,Elettrico,,,"FUSIBILE 10x38 4A",,,80,0,Pz.,0.60000,
38010,Elettrico,,,"FUSIBILE 10x38 6A",,,70,0,Pz.,0.60000,
38011,Elettrico,,,"FUSIBILE 10x38 8A",,,80,0,Pz.,0.72000,
38012,Elettrico,,,"FUSIBILE A VETRO 5x20 0,1A",,,10,0,Pz.,0.10000,
38013,Elettrico,,,"FUSIBILE A VETRO 5x20 0,8A",,,20,0,Pz.,0.07200,
38014,Elettrico,,,"FUSIBILE A VETRO 5x20 1A",,,20,0,Pz.,0.15000,
38015,Elettrico,,,"FUSIBILE A VETRO 5x20 1,6A",,,10,0,Pz.,0.08000,
38016,Elettrico,,,"FUSIBILE A VETRO 5x20 2A",,,10,0,Pz.,0.08000,
