id,nome,stadio,citta,anno_fondazione,scudetti_vinti,allenatore,presidente
1,Fiorentina,"Artemio Franchi",Firenze,1926,2,"Paulo Sousa","Mario Cognigni"
2,"Unione Sportiva Sassuolo Calcio","Mapei Stadium-Città del Tricolore",Sassuolo,1920,2,"Eusebio Di Francesco","Carlo Rossi"
3,"New York Cosmos","Giants Stadium","New York",1970,7,"Giovanni 'Gio' Savarese",Pele
4,Juventus,"Juventus stadium",Torino,1897,33,"Massimo allegri",Agnelli
5,"Cagliari Calcio","Stadio Sant'Elia",Cagliari,1920,1,Rastelli,Giulini
6,Botafogo,"Estadio Olimpico Joao Havelange","Rio de janeiro",1904,2,"Ricardo Gomes","Carlos Eduardo Pereira"
7,"Everton Football Club","Goodison Park",London,1878,9,"Roberto Martinez","Robert Elstone"
8,"Galatasaray Spor Kulübü","Türk Telekom Arena",Istanbul,1905,20,Denizli,"Aydin Özbek"
9,"Montreal Impact","Saputo Stadium",Montreal,2010,0,"Mauro Biello","Joey Saputo"
10,Sampdoria,"Luigi Ferraris",Genova,1946,1,"Vincenzo Montella","Massimo Ferrero"
11,"F.C. Internazionale Milano","Stadio Giuseppe Meazza",Milano,1908,18,"Roberto Mancini","Erick Thohir"
12,"Torino FC",Olimpico,Torino,1906,7,"Giampiero Ventura","Urbano Cairo"
13,"Manchester City","Etihad Stadium",Manchester,1880,4,Pellegrini,"Al Mubarak"
14,Arsenal,"Emirates Stadium",Londra,1886,13,Wenger,Keswick
15,Milan,"San Siro",Milano,1925,13,Allegri,Berlusconi
16,"Engim FC","Engim Stadium",Torino,2015,1,Comunian,"La Pietra"
17,"Cagliari Calcio","Stadio Sant'Elia",Cagliari,1920,1,Rastelli,Giulini
